"frankly","surprised","number","negative","reviews","bought","several","items","website","never","issues","sent","leggings","back","royal","mail","issues","refund","","takes","days","order","arrive","","","","better","evri","issues","shops","","lack","sizes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"like","many","others","returned","defective","trainers","","years","warranty","nearly","months","agoi","received","","","email","customer","service","claim","approved","gift","card","sent","within","week","enquired","several","days","later","gift","card","told","start","whole","process","providing","proof","return","proof","purchase","bank","transaction","","told","different","things","customer","services","clearly","honour","warranty","customers","nike","brand","loose","customers","loyal","like","","decades","lost","faith","brand","longer","values","customers",""
"literally","received","babies","shoes","","mail","boxes","tore","like","","","numerous","times","","pair","purchased","black","scuff","marks","white","","force","ones","pair","purchased","wrong","size","wrong","shoes","maybe","shouldn","","hold","certain","standard","ordered","actual","site","expect","something","like","ebay","better","","dhgate","nike","","","","","","","","","","","","","","","","","","","","",""
"honesty","never","problems","nike","customer","service","ordering","line","items","well","made","packaged","initial","problem","website","trying","hours","place","order","keeps","asking","please","wait","patiently","","impressed","present","","","person","current","problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"give","zero","returned","item","nearly","months","","wrangled","customer","service","since","proof","return","proof","purchase","bank","transaction","correct","format","told","three","different","things","customer","service","bluntly","last","person","example","company","","","brand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"easy","shop","product","arrived","week","","zealand","","jordan","","look","good","","arrived","damaged","","shoes","still","fine","","jordan","","happen","nike","wrapped","shoe","","wrapping","paper","nothing","else","bubble","wrap","","cardboard","answer","nike","start","return","reorder","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"shoddy","cheaply","made","sneekers","last","pairs","sneekers","","bought","nike","worn","soles","little","","think","","","dodgy","marketing","","ploy","","crappy","rubber","soles","shoes","","many","sneekers","bought","famous","sports","brands","last","","moneys","worth","nike","haven","","lasted","","","drag","feet","impared","walk","","cheaply","made","hefty","price","","never","nike","","pooh","quality","avoid","","","","","","","",""
"worst","service","ever","returned","item","days","later","adamant","havent","received","despite","royal","mail","tracking","saying","telling","wont","refund","terrible","company","using","unhelpful","customer","service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bought","pair","nike","vapormax","another","store","spent","bubble","","months","however","","nike","option","send","back","inspection","however","","absolute","best","make","stuck","choices","avoid","inspection","example","dont","give","option","send","shoes","back","","scannable","","code","returns","label","instead","make","","","print","label","post","office","scan","however","people","","","access","printers","called","asking","advice","told","","nothing","","find","someone","printer","reality","","wasted"
"pair","shoes","","","nothing","happened","pairs","vapormaxs","space","months","really","good","quality","considering","","ridiculous","prices","aswell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"absolutely","terrible","service","even","worse","sales","service","ordered","shoes","birthday","present","found","order","cancelled","","delivery","expected","reason","","offered","promo","code","couldn","","applied","item","purchasing","absolute","joke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yall","","","","going","tell","everybody","yall","sorry","","","customers","place","order","february","","today","tell","canceled","february","","update","notin","yall","garbage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"terrible","customer","service","regarding","return","lost","transit","told","nothing","","back","item","","","wouldn","","order","site","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","hires","anybody","","baby","momma","works","stay","giving","stuff","away","sells","weed","","like","","","high","","","like","","","","find","nobody","else","work","","always","facebook","selling","stolen","shoes","nike","half","price","like","","stop","stealing","","stuff","cool","name","markeyda","lightskin","chrysler","","","","","","","","","","","","","","","","","","",""
"bought","daughter","nike","","force","last","september","","back","school","absolute","garbage","","another","trainers","back","inside","worn","away","plastic","shoe","making","feet","bleed","","","","disgusted","nike","made","complaint","told","schuh","","","","authorised","outlets","nothing","","product","helpful","","","","","","","","","","","","","","","","","","","","","","","","",""
"bought","pair","trainers","","wear","wasn","","worn","everyday","split","ripped","look","mess","wearable","told","mike","","","year","warranty","contacting","","","anything","made","","years","","aware","warranty","doesn","","cover","shoes","made","","years","owning","shoes","shows","quality","","","","year","break","year","usage","","","","warranty","","","","","","","","","","","","","","",""
"worst","customer","service","ever","","","even","think","asking","supervisor","","","","","hold","","told","","supervisor","doesn","","want","talk","","nothing","asked","corporate","number","","said","","corporate","","","talk","customers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"like","appreciate","nike","","pair","shoes","purchased","retail","outlet","appreciate","andb","star","rating","found","grey","color","nike","shoe","high","ankle","show","","good","quality","star","rating","thank","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"member","long","time","every","time","","purchase","sneaker","says","didn","","","confirmed","wins","nike","cancel","orders","without","initiating","seems","like","invest","bots","order","","sneaker","nike","doesn","","care","long","sell","product","","","repeatedly","tell","child","hopes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bought","","nike","sport","shoes","","till","still","painful","wearing","painful","experience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ordered","mahomes","shirt","paid","fast","shipping","","still","","shirt","tracking","number","called","every","","","","","crap","hear","never","ever","order","nike","comi","","","fanatics","order","stuff","atleast","","merchandise","order","fanatics","want","shirt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","scammers","inform","clients","items","shipped","overseas","takes","weeks","come","shipping","time","provided","either","","kind","snare","take","money","moment","onwards","zero","support","knew","never","purchase","first","place","upon","request","refund","refused","australian","consumer","","joke","cant","force","refund","nothing","left","except","bitterness","good","lesson","","nothing","cnts","","","","","","","","","","","","","","","","","","",""
"ordered","","trainees","","arrived","disaster","glue","around","sole","threads","stick","looks","like","cheap","replica","street","market","somewhere","asia","backs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"absolutely","awful","","website","tried","enter","dozens","sneaker","drop","draws","never","ever","accepts","payments","frustrating","lousey","payment","methods","perfectly","fine","account","purchasing","normally","nike","never","works","sneaker","drops","awful","awful","service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
