Brand,Review,Sentiment
nike,frankly surprised number negative reviews bought several items website never issues sent leggings back royal mail issues refund yes takes days order arrive use dpd far better evri issues shops due lack sizes,neutral
nike,like many others returned defective trainers two years warranty nearly months agoi received notification via email customer service claim approved gift card sent within week enquired several days later gift card told start whole process providing proof return proof purchase bank transaction i ve told different things customer services clearly honour warranty customers nike brand loose customers loyal like two decades lost faith brand longer values customers,positive
nike,literally received babies shoes via mail boxes tore like they ve ran numerous times one pair purchased black scuff marks white air force ones pair purchased wrong size wrong shoes maybe shouldn t hold certain standard ordered actual site expect something like ebay better yet dhgate nike,positive
nike,honesty never problems nike customer service ordering line items well made packaged initial problem website trying hours place order keeps asking please wait patiently i m impressed present can t person current problem,positive
nike,would give zero could returned item nearly months ago wrangled customer service since proof return proof purchase bank transaction correct format told three different things customer service bluntly last person example company way big brand,neutral
nike,easy shop product arrived week new zealand air jordan s look good box arrived damaged wet shoes still fine air jordan box happen nike wrapped shoe box wrapping paper nothing else bubble wrap box cardboard only answer nike start return reorder,positive
nike,shoddy cheaply made sneekers last pairs sneekers i ve bought nike worn soles little use think it s sly dodgy marketing manufacturing ploy use crappy rubber soles shoes i ve many sneekers bought famous sports brands last get moneys worth nike haven t lasted don t drag feet impared walk run cheaply made hefty price tag never nike dog pooh quality avoid,negative
nike,worst service ever returned item days later adamant havent received despite royal mail tracking saying telling wont refund terrible company using unhelpful customer service,negative
nike,bought pair nike vapormax another store spent bubble pop months however manufactured nike option send back inspection however try absolute best make stuck choices avoid inspection example dont give option send shoes back via scannable qr code returns label instead make go way print label post office scan however people don t access printers called asking advice told there s nothing i ll find someone printer reality i ve wasted pair shoes can t nothing happened pairs vapormaxs space months really good quality considering pay ridiculous prices aswell,negative
nike,absolutely terrible service even worse sales service ordered shoes birthday present found order cancelled day delivery expected reason cancellation offered promo code couldn t applied item purchasing absolute joke,negative
nike,yall foo fuk i m going tell everybody yall sorry got communication customers place order february rd today tell canceled february rd update notin yall garbage,negative
nike,terrible customer service regarding return lost transit told nothing get back item got cut wouldn t order site,negative
