Title,Rating,Review
i m livid,Rated 1 out of 5 stars,literally received babies shoes via mail boxes tore like they ve ran numerous times one pair purchased black scuff marks white air force ones pair purchased wrong size wrong shoes maybe shouldn t hold certain standard ordered actual site expect something like ebay better yet dhgate nike
honesty never,Rated 1 out of 5 stars,honesty never problems nike customer service ordering line items well made packaged initial problem website trying hours place order keeps asking please wait patiently i m impressed present can t person current problem
would give zero could,Rated 1 out of 5 stars,would give zero could returned item nearly months ago wrangled customer service since proof return proof purchase bank transaction correct format told three different things customer service bluntly last person example company way big brand
shipping protectio,Rated 2 out of 5 stars,easy shop product arrived week new zealand air jordan s look good box arrived damaged wet shoes still fine air jordan box happen nike wrapped shoe box wrapping paper nothing else bubble wrap box cardboard only answer nike start return reorder
shoddy cheaply made sneekers,Rated 1 out of 5 stars,shoddy cheaply made sneekers last pairs sneekers i ve bought nike worn soles little use think it s sly dodgy marketing manufacturing ploy use crappy rubber soles shoes i ve many sneekers bought famous sports brands last get moneys worth nike haven t lasted don t drag feet impared walk run cheaply made hefty price tag never nike dog pooh quality avoid
worst service ever,Rated 1 out of 5 stars,worst service ever returned item days later adamant havent received despite royal mail tracking saying telling wont refund terrible company using unhelpful customer service
bought pair nike vapormax,Rated 1 out of 5 stars,bought pair nike vapormax another store spent bubble pop months however manufactured nike option send back inspection however try absolute best make stuck choices avoid inspection example dont give option send shoes back via scannable qr code returns label instead make go way print label post office scan however people don t access printers called asking advice told there s nothing i ll find someone printer reality i ve wasted pair shoes can t nothing happened pairs vapormaxs space months really good quality considering pay ridiculous prices aswell
absolutely terrible service eve,Rated 1 out of 5 stars,absolutely terrible service even worse sales service ordered shoes birthday present found order cancelled day delivery expected reason cancellation offered promo code couldn t applied item purchasing absolute joke
yall foo fuk i m going tell,Rated 1 out of 5 stars,yall foo fuk i m going tell everybody yall sorry got communication customers place order february rd today tell canceled february rd update notin yall garbage
terrible customer service,Rated 1 out of 5 stars,terrible customer service regarding return lost transit told nothing get back item got cut wouldn t order site
bought pair trainers,Rated 1 out of 5 stars,bought pair trainers approximately wear wasn t worn everyday split ripped look mess wearable told mike s two year warranty contacting can t anything made two years ago aware warranty doesn t cover shoes made two years owning shoes shows quality bad sit box year break year usage can t use warranty
worst customer service ever,Rated 1 out of 5 stars,worst customer service ever don t even think asking supervisor bc u get put hold min told oh supervisor doesn t want talk there s nothing asked corporate number rep said oh corporate don t talk customers
